Name,Alignment,Intelligence,Strength,Speed,Durability,Power,Combat
3-D Man,good,50,31,43,32,25,52
A-Bomb,good,38,100,17,80,17,64
Abe Sapien,good,88,14,35,42,35,85
Abin Sur,good,50,90,53,64,84,65
Abomination,bad,63,80,53,90,55,95
Abraxas,bad,88,100,83,99,100,56
Adam Monroe,good,63,10,12,100,71,64
Agent Bob,good,10,8,13,5,5,20
Agent Zero,good,75,28,38,80,72,95
Air-Walker,bad,50,85,100,85,100,40
Alan Scott,good,63,80,23,90,98,32
Alfred Pennyworth,good,63,10,17,10,7,55
Amazo,bad,75,100,100,100,100,100
Angel,good,63,13,46,64,17,42
Angel Salvadore,good,38,10,28,28,46,60
Animal Man,good,56,48,47,85,73,80
Annihilus,bad,75,80,47,56,59,64
Ant-Man,good,100,10,23,28,32,32
Ant-Man II,good,63,10,23,28,32,28
Anti-Monitor,bad,88,90,38,90,100,90
Apocalypse,bad,100,100,33,100,100,60
Aquababy,good,10,16,12,14,37,14
Aqualad,good,63,44,42,75,76,60
Aquaman,good,63,80,50,80,65,80
Archangel,good,63,13,58,64,28,42
Arclight,bad,38,63,23,42,52,70
Ares,good,75,82,35,80,62,101
Ariel,good,50,10,12,14,72,28
Armor,good,50,63,12,80,55,54
Atlas,good,50,80,23,99,69,42
Atom Girl,good,38,10,23,28,38,42
Aurora,good,50,15,83,56,69,56
Azazel,bad,50,11,47,95,87,80
Azrael,good,63,18,17,20,35,80
Bane,bad,88,53,23,56,51,95
Banshee,good,50,10,58,42,60,70
Bantam,good,25,53,23,54,21,56
Batgirl IV,good,69,12,27,56,42,100
Batgirl VI,good,75,10,23,28,22,80
Batman,good,100,18,27,42,37,100
Batman II,good,88,11,33,28,36,100
Battlestar,good,50,53,35,74,48,74
Beast,good,88,48,35,56,35,84
Beast Boy,good,50,28,50,70,79,40
Ben 10,good,10,7,8,10,90,40
Beta Ray Bill,good,63,80,35,95,100,84
Beyonder,good,88,100,23,100,100,56
Big Barda,good,63,90,23,85,42,72
Big Daddy,good,38,10,12,32,22,64
Big Man,bad,75,12,23,28,19,70
Bill Harken,good,63,36,33,60,23,40
Bird-Brain,good,25,10,35,28,21,42
Bishop,good,63,14,23,75,85,65
Bizarro,neutral,75,95,100,100,95,85
Black Adam,bad,88,100,92,100,89,56
Black Bolt,good,75,67,100,84,100,56
Black Cat,good,75,16,33,10,23,70
Black Knight III,good,63,10,8,70,43,70
Black Lightning,good,50,11,53,28,70,75
Black Mamba,bad,75,10,35,42,78,65
Black Panther,good,88,16,30,60,41,100
Black Widow,good,75,13,27,32,32,100
Blackout,bad,63,32,45,80,38,65
Blackwing,bad,38,10,35,32,20,56
Blade,good,63,28,38,50,33,90
Bling!,good,69,14,12,90,52,28
Blink,good,50,8,20,28,55,64
Blizzard II,bad,38,10,27,42,47,56
Blob,bad,10,83,23,95,26,72
Bloodaxe,bad,63,80,33,80,84,84
Bloodhawk,good,50,10,50,80,66,64
Blue Beetle III,good,50,34,58,80,97,30
Boom Boom,good,38,10,12,42,56,64
Booster Gold,good,56,85,53,50,72,40
Box IV,good,50,75,23,28,11,56
Brainiac,bad,100,28,63,90,60,75
Brainiac 5,good,100,10,23,28,60,32
Bullseye,bad,50,11,25,70,20,70
Bumblebee,good,63,28,25,10,45,35
Bushido,good,38,10,8,10,19,70
Cable,good,88,48,23,56,100,80
Callisto,bad,63,53,23,42,45,85
Cameron Hicks,good,50,10,23,28,51,70
Cannonball,good,50,28,67,99,79,56
Captain America,good,63,19,35,56,46,100
Captain Britain,good,75,77,50,60,31,80
Captain Marvel,good,100,100,67,95,62,56
Captain Marvel II,good,75,81,27,90,34,56
Carnage,bad,63,63,70,84,81,90
Catwoman,good,63,13,33,28,24,85
Century,good,88,80,53,64,74,100
Chamber,good,50,10,20,80,57,64
Chameleon,bad,88,10,12,28,28,28
Changeling,bad,63,10,23,42,64,64
Chuck Norris,good,50,80,47,56,42,99
Claire Bennet,good,38,9,12,100,73,28
Cloak,good,63,10,47,64,74,56
Colossus,good,63,83,33,100,46,80
