Alignment,Intelligence,Strength,Speed,Durability,Power,Combat
good,50,31,43,32,25,52
good,38,100,17,80,17,64
good,88,14,35,42,35,85
good,50,90,53,64,84,65
bad,63,80,53,90,55,95
bad,88,100,83,99,100,56
good,63,10,12,100,71,64
good,10,8,13,5,5,20
good,75,28,38,80,72,95
bad,50,85,100,85,100,40
good,63,80,23,90,98,32
good,63,10,17,10,7,55
bad,75,100,100,100,100,100
good,63,13,46,64,17,42
good,38,10,28,28,46,60
good,56,48,47,85,73,80
bad,75,80,47,56,59,64
good,100,10,23,28,32,32
good,63,10,23,28,32,28
bad,88,90,38,90,100,90
bad,100,100,33,100,100,60
good,10,16,12,14,37,14
good,63,44,42,75,76,60
good,63,80,50,80,65,80
good,63,13,58,64,28,42
bad,38,63,23,42,52,70
good,75,82,35,80,62,101
good,50,10,12,14,72,28
good,50,63,12,80,55,54
good,50,80,23,99,69,42
good,38,10,23,28,38,42
good,50,15,83,56,69,56
bad,50,11,47,95,87,80
good,63,18,17,20,35,80
bad,88,53,23,56,51,95
good,50,10,58,42,60,70
good,25,53,23,54,21,56
good,69,12,27,56,42,100
good,75,10,23,28,22,80
good,100,18,27,42,37,100
good,88,11,33,28,36,100
good,50,53,35,74,48,74
good,88,48,35,56,35,84
good,50,28,50,70,79,40
good,10,7,8,10,90,40
good,63,80,35,95,100,84
good,88,100,23,100,100,56
good,63,90,23,85,42,72
good,38,10,12,32,22,64
bad,75,12,23,28,19,70
good,63,36,33,60,23,40
good,25,10,35,28,21,42
good,63,14,23,75,85,65
neutral,75,95,100,100,95,85
bad,88,100,92,100,89,56
good,75,67,100,84,100,56
good,75,16,33,10,23,70
good,63,10,8,70,43,70
good,50,11,53,28,70,75
bad,75,10,35,42,78,65
good,88,16,30,60,41,100
good,75,13,27,32,32,100
bad,63,32,45,80,38,65
bad,38,10,35,32,20,56
good,63,28,38,50,33,90
good,69,14,12,90,52,28
good,50,8,20,28,55,64
bad,38,10,27,42,47,56
bad,10,83,23,95,26,72
bad,63,80,33,80,84,84
good,50,10,50,80,66,64
good,50,34,58,80,97,30
good,38,10,12,42,56,64
good,56,85,53,50,72,40
good,50,75,23,28,11,56
bad,100,28,63,90,60,75
good,100,10,23,28,60,32
bad,50,11,25,70,20,70
good,63,28,25,10,45,35
good,38,10,8,10,19,70
good,88,48,23,56,100,80
bad,63,53,23,42,45,85
good,50,10,23,28,51,70
good,50,28,67,99,79,56
good,63,19,35,56,46,100
good,75,77,50,60,31,80
good,100,100,67,95,62,56
good,75,81,27,90,34,56
bad,63,63,70,84,81,90
good,63,13,33,28,24,85
good,88,80,53,64,74,100
good,50,10,20,80,57,64
bad,88,10,12,28,28,28
bad,63,10,23,42,64,64
good,50,80,47,56,42,99
good,38,9,12,100,73,28
good,63,10,47,64,74,56
good,63,83,33,100,46,80
good,63,16,12,14,57,56
good,75,53,42,85,72,64
bad,75,93,92,100,100,80
good,75,10,23,42,76,80
good,63,10,35,42,52,70
good,38,10,8,10,56,10
good,75,13,27,28,57,95
good,50,32,33,70,74,64
good,75,14,23,85,12,28
bad,88,100,23,100,100,95
good,38,8,35,42,52,64
good,9,4,83,42,12,28
good,63,10,35,42,64,56
good,50,10,33,100,100,42
neutral,50,15,30,100,100,100
bad,50,10,23,28,47,80
good,69,32,30,70,40,60
neutral,75,30,35,100,36,90
bad,50,48,42,35,54,60
bad,50,95,58,98,90,70
good,50,12,12,56,48,56
good,75,80,33,80,36,70
bad,100,32,20,100,93,84
good,81,16,25,80,100,50
good,100,10,12,84,100,60
good,63,10,27,28,49,74
bad,88,80,67,120,100,90
bad,8,63,60,95,62,84
bad,88,95,83,100,100,80
good,88,32,42,95,100,42
bad,88,80,83,99,71,28
good,38,32,12,90,20,14
bad,69,10,50,56,67,64
good,63,11,30,28,59,100
bad,50,8,12,42,63,42
good,38,10,27,90,41,42
good,75,63,35,90,82,42
bad,50,32,33,70,78,64
bad,63,81,28,28,100,70
good,38,13,50,28,22,64
bad,88,85,83,100,100,56
bad,88,95,75,100,87,90
good,38,28,45,28,20,70
good,50,81,23,100,68,70
good,38,8,40,14,90,42
good,38,63,75,90,48,28
good,50,8,54,55,71,32
good,50,53,58,56,100,42
good,63,10,100,50,57,32
good,63,10,100,60,66,32
good,63,10,100,60,83,32
good,63,10,100,32,59,48
good,63,10,12,28,12,48
good,38,10,1,1,0,10
bad,63,53,35,100,38,52
neutral,100,100,83,100,100,70
good,63,10,23,28,55,84
good,63,5,8,10,54,10
bad,94,100,96,100,94,95
good,50,55,25,100,70,60
bad,81,89,23,85,32,42
bad,75,10,23,28,65,56
bad,50,34,47,72,39,56
good,56,100,75,90,100,100
good,50,32,33,40,72,30
good,75,12,35,28,26,90
bad,75,48,35,48,38,28
bad,75,55,37,50,38,26
good,75,85,33,70,92,64
good,38,80,27,64,97,64
good,63,90,53,64,100,56
good,50,85,65,100,70,28
bad,81,12,23,42,30,80
good,63,10,25,60,71,45
good,38,38,35,95,36,42
good,50,12,23,14,26,80
good,50,6,8,10,24,50
good,50,28,53,99,74,72
good,63,53,23,85,30,75
good,50,10,23,42,18,70
good,63,100,46,85,67,100
good,10,8,23,14,21,56
good,63,10,12,32,89,75
good,88,100,47,100,41,85
good,56,10,63,70,74,42
good,69,10,23,28,34,95
good,63,63,35,78,53,64
bad,38,13,25,80,66,50
good,63,95,75,95,58,72
good,63,32,53,100,100,64
good,50,10,100,60,63,60
good,38,28,17,40,66,50
good,69,10,27,70,74,56
good,75,23,35,42,43,100
good,100,85,58,85,100,64
bad,88,63,25,90,57,56
good,75,48,75,46,43,56
good,63,55,100,30,70,30
good,6,34,67,80,69,6
good,100,80,67,100,100,70
good,75,10,35,42,61,72
good,38,38,23,80,23,20
good,88,10,8,10,14,10
good,50,80,27,64,94,54
good,75,12,35,28,65,80
bad,100,10,12,56,22,90
good,63,12,27,32,31,42
good,56,8,22,20,66,90
neutral,44,100,42,100,74,70
bad,50,38,17,90,71,30
good,50,10,33,70,55,30
bad,100,48,58,70,71,70
bad,25,7,12,14,100,40
good,10,10,23,14,21,56
good,25,4,92,42,13,30
bad,25,48,33,85,36,60
good,81,90,53,42,100,80
bad,75,18,25,40,13,70
bad,63,38,33,100,62,60
good,25,10,12,14,10,14
bad,50,34,23,28,36,85
bad,63,32,35,42,26,85
good,9,80,100,90,72,40
bad,100,10,12,14,58,42
good,25,5,12,14,62,14
bad,100,10,12,14,10,28
good,38,10,35,28,65,42
good,38,10,23,28,60,42
bad,44,10,23,42,66,42
bad,75,53,35,56,31,28
bad,38,51,27,70,40,56
bad,88,83,35,100,95,85
bad,88,57,47,85,85,56
good,50,10,27,10,71,70
good,44,55,23,95,35,64
good,38,6,83,14,53,14
bad,75,36,60,84,60,56
good,63,32,35,84,51,64
bad,88,80,27,84,91,80
good,50,48,23,64,66,72
bad,88,100,70,99,100,74
neutral,38,18,50,70,33,30
good,50,32,8,100,98,40
good,63,44,35,42,38,70
bad,100,28,23,28,99,95
good,100,100,96,100,100,85
good,63,85,47,42,100,80
good,75,73,35,80,62,100
bad,75,95,83,85,90,70
good,63,10,12,14,59,56
good,63,10,12,42,60,85
bad,75,90,35,56,67,75
good,50,10,12,14,60,14
good,75,34,35,70,35,56
good,38,10,12,42,58,64
bad,88,85,35,95,100,42
good,56,62,54,70,55,70
bad,75,53,23,95,74,64
good,88,10,47,56,69,28
good,63,8,12,14,57,14
good,38,28,27,28,44,32
good,63,67,47,56,79,42
good,63,32,23,80,62,42
good,63,85,58,100,100,45
good,100,10,18,70,32,64
bad,75,32,12,70,37,28
bad,113,10,12,14,100,28
bad,50,73,23,84,53,56
good,50,10,35,14,48,90
good,50,36,23,42,28,75
good,56,67,47,52,79,80
bad,63,60,35,42,59,56
bad,75,28,12,42,55,56
good,38,73,35,95,25,42
good,63,80,47,52,70,80
good,38,63,23,84,11,56
good,63,11,23,70,28,62
bad,75,10,23,42,50,56
bad,75,12,23,64,58,74
good,50,85,42,42,41,64
good,50,72,47,70,30,70
good,50,80,32,80,100,100
good,75,11,23,42,25,100
good,50,10,47,14,52,80
good,88,11,33,28,36,100
good,63,52,35,28,37,56
good,63,5,8,10,54,20
good,50,18,83,56,70,70
good,100,85,67,101,100,85
good,38,60,100,100,100,25
good,50,10,35,99,100,56
bad,88,85,47,100,100,85
good,75,11,23,28,19,76
good,75,85,60,95,65,42
bad,75,10,12,28,30,45
good,63,28,23,28,69,56
good,38,10,23,28,53,42
good,100,80,67,100,100,70
good,50,63,23,100,100,56
bad,50,10,23,28,60,42
bad,69,14,23,14,71,36
good,88,98,67,95,67,75
good,100,8,12,14,90,32
bad,63,38,23,48,22,28
good,50,16,23,28,22,100
bad,38,10,12,14,50,28
good,81,14,27,35,20,80
good,63,28,100,60,57,56
good,38,10,12,14,23,14
bad,100,28,32,42,27,100
good,63,4,8,10,52,10
neutral,50,10,29,70,62,40
good,63,16,25,20,24,80
neutral,75,12,23,28,24,95
good,50,88,47,95,59,75
bad,25,10,23,14,20,56
good,81,11,27,32,29,80
bad,75,10,12,14,19,80
good,75,38,67,60,92,40
bad,25,80,43,90,37,85
bad,88,11,23,28,19,95
bad,100,10,12,14,10,14
good,88,11,27,28,32,85
good,81,11,27,28,30,85
good,69,8,33,16,29,65
good,50,5,23,28,28,64
good,75,10,12,28,80,80
good,38,10,27,32,21,90
good,75,10,29,20,23,80
bad,55,53,25,90,28,100
good,75,10,12,14,28,56
neutral,50,75,47,97,62,56
good,75,80,23,56,15,42
good,63,70,54,85,49,72
bad,81,10,12,14,48,50
good,75,53,60,74,39,56
good,88,55,60,40,30,56
bad,88,10,23,42,67,28
bad,38,28,42,28,34,28
bad,50,52,60,85,49,80
good,75,80,58,84,97,54
good,75,12,27,100,100,75
good,88,8,21,25,69,70
good,63,12,30,50,25,100
good,63,48,45,64,42,84
good,69,100,42,100,33,70
bad,63,10,23,70,63,56
good,50,10,23,28,45,42
good,50,57,25,52,19,70
good,63,100,84,101,100,32
good,50,28,35,42,34,42
bad,75,80,53,64,100,56
bad,38,10,12,14,55,28
bad,38,8,47,28,50,42
good,50,85,27,90,62,85
good,50,32,27,42,63,52
good,50,34,23,46,20,56
bad,9,93,13,100,78,30
good,75,36,27,42,55,56
good,38,18,33,40,90,80
good,75,60,50,90,100,95
good,63,38,60,65,46,75
good,88,55,60,74,58,85
good,50,42,42,32,62,52
good,50,48,27,42,60,28
good,50,12,17,60,41,30
good,88,85,100,110,100,85
good,50,80,33,85,59,70
good,50,40,27,90,71,56
good,81,82,53,90,64,64
good,69,10,54,10,17,10
good,75,10,47,30,88,75
good,63,80,47,56,37,84
good,63,63,35,25,79,70
good,8,1,1,10,65,40
good,75,95,83,90,84,60
bad,94,100,100,100,100,85
good,94,98,92,100,85,75
good,100,100,100,100,94,85
bad,88,80,23,100,66,56
bad,75,10,12,28,91,56
good,75,67,23,28,74,56
good,38,10,45,28,62,60
bad,88,100,17,100,100,80
good,38,10,23,32,22,64
neutral,63,14,17,10,12,80
good,75,84,21,90,26,80
good,69,100,92,100,100,85
good,75,83,70,84,100,70
good,50,32,27,32,14,70
good,63,80,70,84,31,72
good,38,81,32,64,26,54
bad,38,72,42,70,21,28
good,63,32,53,38,33,90
bad,100,10,23,14,10,14
neutral,50,34,58,56,49,28
good,56,73,70,84,75,70
good,63,10,23,42,44,42
bad,88,10,12,14,9,28
good,50,80,35,70,35,80
bad,88,83,42,100,100,64
bad,50,80,23,84,72,64
bad,63,10,75,56,39,42
bad,75,57,65,84,79,84
bad,50,57,47,70,54,56
bad,63,73,35,90,66,56
good,63,63,53,64,56,70
good,10,4,12,28,65,14
good,100,72,54,95,76,70
bad,63,22,47,56,40,56
bad,50,28,8,50,11,20
good,63,80,63,100,100,85
good,88,36,79,95,71,95
bad,38,10,23,28,63,50
good,38,72,47,70,26,84
good,63,8,58,52,23,42
good,100,80,67,89,100,56
good,50,32,23,100,77,42
bad,38,16,23,28,41,60
good,56,32,35,65,60,84
good,38,16,35,42,26,42
good,55,32,38,100,44,100
good,75,90,25,80,39,60
good,75,100,53,90,64,64
good,88,100,50,100,42,100
good,10,10,12,1,1,56
good,75,24,35,90,27,85
good,88,53,53,95,92,84
good,88,10,12,28,12,14
good,50,10,35,28,31,28
good,50,100,27,100,83,28
good,75,10,23,28,100,56
bad,50,10,100,28,72,28
