Name,Alignment,Intelligence,Strength,Speed,Durability,Power,Combat
3-D Man,good,Strong,Medium,Strong,Medium,Low,Strong
A-Bomb,good,Medium,Excessive,Low,Excellent,Low,High
Abe Sapien,good,Excellent,Low,Medium,Strong,Medium,Excellent
Abin Sur,good,Strong,Excessive,Strong,High,Excellent,High
Abomination,bad,High,Excellent,Strong,Excessive,Strong,Excessive
Abraxas,bad,Excellent,Excessive,Excellent,Excessive,Excessive,Strong
Adam Monroe,good,High,Low,Low,Excessive,Excellent,High
Agent Bob,good,Low,Very Low,Low,Very Low,Very Low,Low
Agent Zero,good,Excellent,Low,Medium,Excellent,Excellent,Excessive
Air-Walker,bad,Strong,Excellent,Excessive,Excellent,Excessive,Strong
Alan Scott,good,High,Excellent,Low,Excessive,Excessive,Medium
Alfred Pennyworth,good,High,Low,Low,Low,Very Low,Strong
Amazo,bad,Excellent,Excessive,Excessive,Excessive,Excessive,Excessive
Angel,good,High,Low,Strong,High,Low,Strong
Angel Salvadore,good,Medium,Low,Low,Low,Strong,High
Animal Man,good,Strong,Strong,Strong,Excellent,Excellent,Excellent
Annihilus,bad,Excellent,Excellent,Strong,Strong,Strong,High
Ant-Man,good,Excessive,Low,Low,Low,Medium,Medium
Ant-Man II,good,High,Low,Low,Low,Medium,Low
Anti-Monitor,bad,Excellent,Excessive,Medium,Excessive,Excessive,Excessive
Apocalypse,bad,Excessive,Excessive,Medium,Excessive,Excessive,High
Aquababy,good,Low,Low,Low,Low,Medium,Low
Aqualad,good,High,Strong,Strong,Excellent,Excellent,High
Aquaman,good,High,Excellent,Strong,Excellent,High,Excellent
Archangel,good,High,Low,Strong,High,Low,Strong
Arclight,bad,Medium,High,Low,Strong,Strong,Excellent
Ares,good,Excellent,Excellent,Medium,Excellent,High,Excessive
Ariel,good,Strong,Low,Low,Low,Excellent,Low
Armor,good,Strong,High,Low,Excellent,Strong,Strong
Atlas,good,Strong,Excellent,Low,Excessive,High,Strong
Atom Girl,good,Medium,Low,Low,Low,Medium,Strong
Aurora,good,Strong,Low,Excellent,Strong,High,Strong
Azazel,bad,Strong,Low,Strong,Excessive,Excellent,Excellent
Azrael,good,High,Low,Low,Low,Medium,Excellent
Bane,bad,Excellent,Strong,Low,Strong,Strong,Excessive
Banshee,good,Strong,Low,Strong,Strong,High,Excellent
Bantam,good,Low,Strong,Low,Strong,Low,Strong
Batgirl IV,good,High,Low,Low,Strong,Strong,Excessive
Batgirl VI,good,Excellent,Low,Low,Low,Low,Excellent
Batman,good,Excessive,Low,Low,Strong,Medium,Excessive
Batman II,good,Excellent,Low,Medium,Low,Medium,Excessive
Battlestar,good,Strong,Strong,Medium,Excellent,Strong,Excellent
Beast,good,Excellent,Strong,Medium,Strong,Medium,Excellent
Beast Boy,good,Strong,Low,Strong,Excellent,Excellent,Strong
Ben 10,good,Low,Very Low,Very Low,Low,Excessive,Strong
Beta Ray Bill,good,High,Excellent,Medium,Excessive,Excessive,Excellent
Beyonder,good,Excellent,Excessive,Low,Excessive,Excessive,Strong
